Section,Discription,Bail,Punishment,Triable_By,Congizance,Unnamed: 7,Offence
IPC Section 120,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.","
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
","
an illegal act, or
an act which is not illegal by illegal means, such an agreement is designated a criminal conspiracy;
","
Same As Offence
Bailable
",,"
One-Fourth of Offence or Fine or Both
One-Eighth of Offence or Fine or Both
"
IPC Section 120A,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 120B,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.","
Same As Offence
Bailable
","
Same As For Abetment of that Offence
6 Months or Fine or Both
","
Same As Offence
Magistrate First Class
","
Same As Offence
Non-Cognizable
",,"
Criminal conspiracy to commit an offence, Punishable with death, imprisonment for life or rigorous imprisonment for a term of 2 Years or upwards
Any other criminal conspiracy
"
IPC Section 122,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,"Collecting arms, etc., with The intention of waging War against the Government of India"
IPC Section 123,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Non-Bailable,10 Years + Fine,Court of Session,Cognizable,,Concealing with intent to facilitate a design to wage War
IPC Section 124,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Non-Bailable,7 Years + Fine,Court of Session,Cognizable,,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power"
IPC Section 124A,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life + Fine or 3 Years + Fine or Fine,Court of Session,Cognizable,,Sedition
IPC Section 125,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life + Fine or 7 Years + Fine or Fine,Court of Session,Cognizable,,"Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war"
IPC Section 126,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Non-Bailable,7 Years + Fine + forfeiture of property,Court of Session,Cognizable,,Committing depredation On the territories of any power in alliance or at peace with the Government of India
IPC Section 127,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,7 Years + Fine + forfeiture of property,Court of Session,Cognizable,,Receiving property taken by war or depredation mentioned in sections 125 And 126
IPC Section 128,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,Public servant voluntarily allowing prisoner of State or war in his custody to escape
IPC Section 129,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,Simple Imprisonment 3 Years + Fine,Magistrate First Class,Cognizable,,Public servant negligently suffering prisoner of State or war in his custody to escape
IPC Section 130,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,"Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner"
IPC Section 131,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,"Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty"
