AgileBits,twitter.com/1Password,51-200,Put Passwords In Their Place,https://agilebits.com/,Toronto,Canada,Jeff Shiner,twitter.com/jeffreyshiner
Aha!,twitter.com/aha_io,51-200,Aha! is roadmapping software for PMs who want their mojo back,http://www.aha.io/,"Menlo Park, CA",USA,Brian de Haaff,twitter.com/bdehaaff
Parknav,twitter.com/parknav,1-10,Solve parking problems,https://parknav.com/,"Chicago, IL",USA,Eyal Amir,twitter.com/optimistfwd
AirTreks,twitter.com/airtreks,11-50,Multi-stop international flight planner with a distributed team.,https://www.airtreks.com/about/,,USA,Mark Ludwig,
Aldrin,https://twitter.com/Aldrin_Exchange,11-50,Simplify DeFi,https://aldrin.com/,,,Hisham Khan,
Alegion,twitter.com/alegion,51-200,Crowdsourcing platform,https://alegion.com,"Austin, TX",USA,Nathaniel Gates,https://twitter.com/akgates
Alley interactive,twitter.com/alleyco,51-200,Crafting custom digital experiences,https://alley.co,"New York, NY",USA,Austin Smith,twitter.com/netaustin
AltSchool,https://twitter.com/AltitudeLearn,51-200,AltSchool is a venture-backed educational startup headquartered in San Francisco,https://www.altschool.com/,"San Francisco, CA",USA,Max Ventilla,twitter.com/ventilla
Amazee,twitter.com/amazeeio,11-50,Drupal hosting Platform as a Service,https://www.amazee.io/,Zurich,Switzerland,Stephanie Lüpold,https://twitter.com/LupoldStephanie
AmaZix,twitter.com/AmaZixOfficial,51-200,Community Management for Crypto Projects,https://www.amazix.com/,Hong Kong,Hong Kong,Jonas Sevel Karlberg,
Amazowl,https://twitter.com/amazowl,11-50,Global Amazon Expertise.,https://www.amazowl.com/,Dublin,Ireland,Mark Greene,https://twitter.com/MarkEGreene
Andela,twitter.com/Andela,1001-5000,Distributed engineering teams with Africa’s most talented software developers,https://andela.com/,NY,USA,Jeremy Johnson,https://twitter.com/JeremyJ
Angie Hospitality,https://twitter.com/_HeyAngie,11-50,"Building the world’s first cloud-powered, interactive guest room assistant, created just for hotels. https://angie.ai/",,"Los Angeles, CA",USA,Ted Helvey,N/A
Animalz,https://twitter.com/AnimalzCo,11-50,"Content marketing solutions to SaaS, tech and crypto companies",https://www.animalz.co,"New York, NY",USA,Devin Bramhall,https://twitter.com/devinemily
Antavo,twitter.com/antavopromotion,11-50,Antavo is a complete Software-as-a-Service solution to launch point-based loyalty programs,https://antavo.com/,London,UK,Attila Kecsmar,twitter.com/AttilaKecsmar
Apartment Therapy,twitter.com/AptTherapy,51-200,"Saving the world, one room at a time.","https://www.apartmenttherapymedia.comNew York, NY",,USA,Maxwell Ryan,
Apitalks,https://twitter.com/apitalks,1-10,Get your data out of the building,https://www.apitalks.com/,Praha,Czech Republic,Bohuslav Dohnal,
Applied Brain Research,twitter.com/abr_inc,11-50,Surprisingly good at AI and robotics,https://appliedbrainresearch.com/Waterloo,,Canada,Dr. Chris Eliasmith,
Appnovation,twitter.com/Appnovation/,201-500,Global Digital Solutions and Managed Services provider,"https://www.appnovation.com Vancouver, BC",,Canada,Arnold Leung,
Apptio,twitter.com/Apptio,501-1000,The business management system of record for hybrid IT,https://www.apptio.com/,"Bellevue, WA",USA,Sunny Gupta,https://twitter.com/sguptaapptio
Aptible,twitter.com/aptible,11-50,Deploy your app. Design your security management program. Meet requirements.,aptible.com,"San Francisco, CA",USA,Chas Ballew,twitter.com/chasballew
Araize,twitter.com/FastFundOnline,1-10,"Non-profit accounting, fundraising & payroll",http://www.araize.com/,"Chapel Hill, NC",USA,Joseph Scarano,
ArangoDB,twitter.com/arangodb,51-200,ArangoDB is the leading native multi-model NoSQL database,arangodb.com/,"San Francisco, CA",USA,Claudius Weinberger,twitter.com/weinberger
Argent,twitter.com/argenthq,11-50,Safest and simplest way to access the next era of the internet — the decentralised web.,https://www.argent.xyz/,London,UK,Itamar Lesuisse,https://twitter.com/itamarl
Arkency,twitter.com/arkency,1-10,Our speciality is working with legacy software,http://arkency.com/,Wrocław,Poland,Andrzej Krzywda,twitter.com/andrzejkrzywda
Art & Logic,twitter.com/artandlogic,51-200,We don’t just build software - We build it better.,http://artandlogic.com/,"Pasadena, CA",USA,Paul Hershenson,twitter.com/phershenson
ART19,twitter.com/art19co,11-50,a Podcasting company,http://www.art19.com/,"Oakland, CA",USA,Sean Carr,
,,,,,,,,Missing your company?
From Remotive.com,"Browse 2,000 remote jobs on",,,,,,,
,,,https://remotive.com,,��, ������,,Hiring remotely?
with ♥,Remotive! ➡➡➡,,,,,,,Email me at
,,,,,,,,hello@remotive.io
,,Nb. of,,,,,,
Company name,Company Twitter,,What do they do (Verbatim - 10 words max.),Link to website,HQ City,HQ Country,CEO name,CEO's Twitter
,,Employees,,,,,,
,��,"Hire anywhere, thrive everywhere with Oyster - Reliable, compliant global employment: - Check it out here!",,,,,,
Remote Health by SafetyWing,Health Insurance for Global Teams,,Learn more!,,,,,
Articulate,twitter.com/Articulate,201-500,"It’s the world’s favorite e-learning authoring tool, better than ever.",https://www.articulate.com/,"New York, NY",USA,Adam Schwartz,twitter.com/GetAdam
Assembled Brands,twitter.com/assembledbrands,11-50,"Rapid financing, business insights, and an unrivaled network to grow your brand.","https://assembledbrands.com/New York, NY",,USA,Adam Pritzker,twitter.com/adampritzker
Astro HQ,https://twitter.com/Astropad,11-50,We build hardware and software tools that unlock creativity and productivity.,http://astropad.com,"Minneapolis, MN",USA,Matt Ronge,https://twitter.com/mronge
Attentiv,twitter.com/getattentiv,1-10,Attentiv is the ultimate decision-making and team collaboration platform.,http://attentiv.com/,Washington,USA,,
Attractions.io,twitter.com/attractions_io,1-10,Mobile apps for attractions,https://attractions.io/,Staffordshire,UK,Mark Locker,https://twitter.com/marklocker
Aula,twitter.com/aula_education,51-200,University’s digital campus: a communication platform.,https://aula.education/,Oxford,UK,Anders Krohn,https://twitter.com/anders_krohn
Aurity,twitter.com/aurityteam,11-50,Specializing in React and React Native.,https://www.aurity.co/join-us,London,UK,Peter Kowalczyk,https://twitter.com/peter_kow?lang=en
Auth0,twitter.com/auth0,501-1000,Identity made simple for developers,https://auth0.com/,WA,USA,Eugenio Pace,https://twitter.com/eugenio_pace
Authority Partners,twitter.com/APIknowsIT,201-500,"Technology for the Enterprise, Outsourcing,","https://www.authoritypartners.com/Irvine, CA",,USA,Dalibor Marijanović,
Automattic,twitter.com/automattic,1001-5000,"We are a distributed company, democratizing publishing and development.","https://automattic.com/work-with-us/San Francisco, CA",,USA,Alex Combos,
Avaaz,twitter.com/Avaaz,51-200,Largest global progressive movement,"https://www.avaaz.org/page/en/New York, NY",,USA,Ricken Patel,twitter.com/Ricken_Patel
Avocado,twitter.com/avocadomattress,501-1000,"A progressive, online retailer of natural mattresses and bedding products.","https://www.avocadogreenmattress.com/New York, NY",,USA,Alexandra Duncan,
Award Force,twitter.com/awardforce,11-50,"Award management software for organisers of awards, grants, scholarships",https://www.awardforce.com/ Sydney,,Australia,Richard de Nys,https://twitter.com/dexm
AWeber,https://twitter.com/aweber,51-200,Powerfully-simple email marketing for small businesses,https://www.aweber.com,"Chalfont, PA",USA,Tom Kulzer,https://twitter.com/tkulzer
Axelerant,twitter.com/axelerant,51-200,We’re an incubator for innovative products and services created to make the world a happier place.https://axelerant.com,,"Boston, MA",USA,Ankur Gupta,
Azumio,twitter.com/azumioinc,11-50,Azumio™ is a leader in health and fitness apps on mobile devices,http://www.azumio.com/,"Palo Alto, CA",USA,Bojan Bernard Bostjancic,
BacklotCars,twitter.com/backlotcars,51-200,A networking marketplace for auto dealers - Never pay auction fees again.,https://backlotcars.com/,"Kansas City, MO",USA,Justin Davis,
Balena,https://twitter.com/balena_io,51-200,Build your IoT project with balena.,https://www.balena.io/,London,UK,Alexandros Marinos,https://twitter.com/alexandrosm
Balsamiq,twitter.com/balsamiq,11-50,Balsamiq Mockups is a rapid wireframing tool,https://balsamiq.com/,internet,,Jacomo Peldi Guilizzonitwitter.com/peldi,
Band Industries,https://twitter.com/RoadieOfficial,11-50,Automatic Guitar Tuner,"http://www.bandindustries.comPort Townsend, WA",,USA,Hassane Slaibi,https://twitter.com/HassaneSlaibi
Barefoot Coders,https://twitter.com/Barefoot_Coders,1-10,Consulting company,https://barefootcoders.com/,"New York, NY",USA,Jason Berlinsky,
Baremetrics,twitter.com/Baremetrics,1-10,Subscription Analytics & Insights for Stripe,https://baremetrics.com/,"San Francisco, CA",USA,Jonathan Siegel,https://twitter.com/usiegj00
Barrel,twitter.com/barrelny,11-50,Experience design and intelligent marketing for growing brands.,"https://www.barrelny.com/aboutNew York, NY",,USA,Peter Kang,https://twitter.com/peterkang34
Barrel Roll,twitter.com/gobarrelroll,1-10,We maintain WordPress.,https://gobarrelroll.com,"Norfolk, VA",USA,Scott Carter,
Basecamp,twitter.com/basecamp,50-200,"Basecamp is everyone's favorite project management app, the tool of the trade",https://basecamp.com/,"Chicago, IL",USA,Jason Fried,twitter.com/jasonfried
Lemonpie,https://twitter.com/LemonpieFM,1-10,Helping companies grow through podcasting,https://www.bemyguest.fm/,"Columbus, OH",USA,Erik Jacobson,https://twitter.com/erikbison
Bearer,twitter.com/BearerSH,11-50,Data security risk assessment for cloud-native applications,https://www.bearer.com/,Paris,France,Guillaume Montard,https://twitter.com/g_montard
BeBanjo,twitter.com/bebanjo,11-50,We help you manage your on-demand world,http://www.bebanjo.com/,Madrid,Spain,François Chabat,
BeerMenus,twitter.com/beermenus,11-50,We exist to help grow the craft beer market.,"https://www.beermenus.com/ New York, NY",,USA,Eric Stephens,https://twitter.com/ericds
BetterDoctor,https://twitter.com/Quest_Analytics,11-50,"Search over 1,000,000 doctors rated by education and experience",https://betterdoctor.com/,"San Francisco, CA",USA,Steve Levin,
Beutler Ink,twitter.com/BeutlerInk,11-50,Design / Stategy / Wiki Relations,http://www.beutlerink.com/,Washington,USA,William Beutler,https://twitter.com/WilliamBeutler
Bevy,https://twitter.com/BevyHQ,11-50,Builds community in real life,https://www.bevy.com/,"Palo Alto, CA",USA,Derek Andersen,twitter.com/DerekjAndersen
BidWrangler,twitter.com/BidWrangler,11-50,Auction technology platform,"https://www.bidwrangler.com/ Harrisonburg, VA",,USA,Timothy Peters,
Bisnow Media,twitter.com/bisnow,51-200,"Inform, connect and advance the commercial real estate community to do more business.",https://www.bisnow.com,"New York, NY",USA,William Friend,
Bitnami,twitter.com/Bitnami,51-200,Packaged Applications for Any Platform,https://bitnami.com/,"San Francisco, CA",USA,Daniel Lopez,
Bitovi,twitter.com/bitovi,11-50,Bitovi simplifies JavaScript development and UX design.,https://www.bitovi.com/,"Chicago, IL",USA,Justin Meyer,twitter.com/justinbmeyer
Blanket,twitter.com/blanketai,1-10,Your Automated SDR,http://blanket.ai/,"Miami, FL",USA,Alex Nucci,https://twitter.com/AlexNucci
BloodHub,twitter.com/bloodhub,11-50,Supply chain automation for Blood Suppliers and Hospitals.,"http://www.bloodhub.com/founders/Phoenix, AZ",,USA,Michael Pandelakis,
Blossom,twitter.com/blossom,1-10,A lightweight project management tool,http://www.blossom.co/,"San Francisco, CA",USA,Thomas Schranz,https://twitter.com/__tosh
Blue Ox Family Games,N/A,11-50,An independent studio that creates original family-oriented mobile apps,"http://www.blueoxfamilygames.com/Caribou, Maine",,USA,Christopher York,
Blue Zinc IT,N/A,51-200,"Specialising in improving, connecting and automating the musculoskeletal.",https://www.blue-zinc.com,Belfast,UK,Ronnie Johnston,
BlueLabs,N/A,11-50,Building a next generation Sports Betting Platform,https://www.bluelabs.eu/,Valetta,Malta,Moritz Honig,https://twitter.com/moritzhonig
Bluespark Labs,twitter.com/bluesparklabs,11-50,"We help you imagine, design, and build amazing digital experiences",https://www.bluespark.com/,"Raleigh, NC",USA,Michael Tucker,twitter.com/michaelrtucker
Boatyard,twitter.com/BoatyardUSA,11-50,Connecting the World of Boating,www.boatyard.com,Ft Lauderdale,USA,Nathan Heber,
Bold Penguin,twitter.com/bold_penguin,51-200,Commercial insurance exchange,"https://www.boldpenguin.com/Columbus, OH",,USA,Ilya Bodner,https://twitter.com/ibodner
Bonfire,twitter.com/bonfire,51-200,Helps people design and sell custom shirts,"https://www.bonfire.com/about/Richmond, VA",,USA,Brian Marks,https://twitter.com/brianrmarks
BookingSync,twitter.com/bookingsync,11-50,BookingSync is a property management system for vacation rentals.,https://www.bookingsync.com/Névache,,France,Sebastien Grosjean,https://twitter.com/sebgrosjean
Bookwhen,twitter.com/bookwhen,1-10,"Flexible online booking system for Classes, Courses, Workshops and Events.",https://bookwhen.com/,Oxford,UK,Jonathan Potts,
BrainCheck,twitter.com/BrainCheck,11-50,BrainCheck empowers you to track your own brain health,"https://braincheck.com/our-team/Houston, TX",,USA,Yael Katz,https://twitter.com/yaeljkatz
BrandBastion,twitter.com/BrandBastion,51-200,BrandBastion is the #1 choice for ad spenders on social media.,https://www.brandbastion.com/join-usHelsinki,,Finland,Jenny Wolfram,https://twitter.com/JennyWolfram
Brave-software,twitter.com/brave,51-200,"fix the web by giving users a safer, faster and better browsing experience",https://brave.com/jobs/,"San Francisco, CA",USA,Brendan Eich,https://twitter.com/BrendanEich
BriteCore,twitter.com/britecore,201-500,Modern Insurance technology,"https://www.britecore.com/company/Springfield, MO",,USA,Phil Reynolds,
,,,,,,,,Missing your company?
From Remotive.com,"Browse 2,000 remote jobs on",,,,,,,
,,,https://remotive.com,,��, ������,,Hiring remotely?
with ♥,Remotive! ➡➡➡,,,,,,,Email me at
,,,,,,,,hello@remotive.io
,,Nb. of,,,,,,
Company name,Company Twitter,,What do they do (Verbatim - 10 words max.),Link to website,HQ City,HQ Country,CEO name,CEO's Twitter
,,Employees,,,,,,
,��,"Hire anywhere, thrive everywhere with Oyster - Reliable, compliant global employment: - Check it out here!",,,,,,
Remote Health by SafetyWing,Health Insurance for Global Teams,,Learn more!,,,,,
Buffer,twitter.com/buffer,51-200,A better way to share on social media - Social media management for marketers and agencies,buffer.com,"San Francisco, CA",USA,Joel Gascoigne,twitter.com/joelgascoigne
Bugcrowd,twitter.com/Bugcrowd,51-200,"We bring thousands of good hackers to the fight,",https://bugcrowd.com/,"San Francisco, CA",USA,Ashish Gupta,https://twitter.com/gupta
Bugfender,twitter.com/bugfenderapp,1-10,remote logger for multiple platforms,https://bugfender.com/about-bugfender/Barcelona,,Spain,Aleix Ventayol,https://twitter.com/aleixventayol
Buink,,1-10,Unleash the power of the internet for sm-md size businesses.,https://www.buink.com,"Lafayette,CO",USA,Ben Buie,https://twitter.com/benbuie
BuySellAds,twitter.com/buysellads,11-50,"12,000+ advertisers reaching audiences in context at scale",http://buysellads.com/,"Boston, MA",USA,Todd Garland,twitter.com/toddo
Cadasta,twitter.com/CadastaOrg,11-50,Secure platform for mapping global land & resource rights,https://cadasta.org/,"Washington, DC",USA,Amy Coughenour Betancourt,
CafeMedia,twitter.com/cafemedia_,51-200,Fueling Today's creative economy,"http://www.cafemedia.com/team.phpNew York, NY",,USA,Michael Sanchez,
Camplight,twitter.com/campenlightment,11-50,digital cooperative that creates experiences,https://camplight.net/,Varna,Bulgaria,Marta Kostova,https://twitter.com/martakostova
Canonical,twitter.com/Canonical,501-1000,It is our mission to make open source software available to people everywhere.,http://www.canonical.com/,London,UK,Mark Shuttleworth,
Cantilever,https://twitter.com/cantileverco,1-10,"We design and engineer websites with care, and it shows.",https://cantilever.co/,"New York, NY",USA,Ty Fujimura,https://twitter.com/tyfuji
VMware Carbon Black,https://twitter.com/vmw_carbonblack1001-5000,,Stop the Most Attacks,"https://www.carbonblack.com/Palo Alto, CA",,USA,Patrick P. Gelsinger,https://twitter.com/PGelsinger
Cargobase,twitter.com/Cargobase,11-50,Online Platform for Ad Hoc Freight,https://www.cargobase.com/,Singapore,Singapore,Wiebe Helder,twitter.com/whelder
CarriersEdge,twitter.com/CarriersEdge,11-50,Reimagine driver training,"https://www.carriersedge.com/companyMarkham, ON",,Canada,Jane Jazrawy,https://twitter.com/janejazrawy?lang=en
Cartstack,twitter.com/cartstack,1-10,CartStack is an abandon cart re-marketing service,http://www.cartstack.com/,"St. Paul, MN",USA,Brett Thoreson,twitter.com/brettthoreson
Castle,twitter.com/Castle_IO,11-50,"analyzes browsing habits, UI interaction, device characteristics,",https://castle.io/,"San Francisco, CA",USA,Johan Brissmyr,twitter.com/brissmyr
Casumo,twitter.com/CasumoCasino,201-500,Recognized and award winning online gaming product.,https://www.casumo.com/,Tal-Ibragg,Malta,Shelly Suter- Hadad,
Cesanta,twitter.com/CesantaHQ,11-50,Developing Internet of Things platform,https://www.cesanta.com/,Dublin,Ireland,Anatoly Lebedev,twitter.com/anatolyl
ChartMogul,twitter.com/ChartMogul,11-50,We’re democratizing analytics!,https://jobs.chartmogul.com/,Berlin,Germany,Nick Franklin,https://twitter.com/Nick_Franklin
Chaser,twitter.com/chaser_hq,11-50,We're on a mission to transform credit control,https://chaserhq.com/jobs,London,UK,Sonia Dorais,https://twitter.com/Chaser_Sonia
Chekr,https://twitter.com/checkr,11-50,Make Background checks more fair,"https://checkr.com/company/careersSan Francisco, CA",,USA,Daniel Yanisse,https://twitter.com/danielyanisse
Chef,twitter.com/chef,201-500,"Innovation, speed, collaboration and safety - Chef bakes them all into one DevOps platform.",https://www.chef.io,"Seattle, WA",USA,Barry Crist,twitter.com/barry_crist
Chess.com,twitter.com/chesscom,51-200,Online chess,https://www.chess.com,,USA,Erik Allebest,https://twitter.com/erikallebest
Chili Piper,twitter.com/chilipiper,51-200,Building the Future of B2B Commerce,https://www.chilipiper.com/,"New York, NY",USA,Nicolas Vandenberghehttps://twitter.com/NicolasVDB,
Chromatic,twitter.com/ChromaticHQ,1-10,Designers and developers of big websites for recognized brands.,https://chromatichq.com/,"Chicago, IL",USA,Christopher Free,
Chronos Capital,N/A,1-10,Equity Management Software With a Human Touch,http://chroncap.com,"New York, NY",USA,Sanjay Gandhi,
Ciao Bambino!,twitter.com/CiaoBambino,11-50,Global family travel planning resource.,http://ciaobambino.com/,"Oakland, CA",USA,Amie O'Shaughnessy,
CircleCI,twitter.com/circleci,201-500,"Ship better code, faster",https://circleci.com/,"San Francisco, CA",USA,Jim Rose,
CitizenShipper,https://twitter.com/CitizenShipper,11-50,"Online marketplace for transporting hard-to-ship items, mainly pets",https://citizenshipper.com/,"Tyler, Texas",USA,Richard Obousy,https://www.linkedin.com/in/richard-obousy-9a8929a/
Civic Actions,twitter.com/civicactions,51-200,Passionate civic technologists committed to a better world.,https://civicactions.com/,"Lafayette, CA",USA,Henry Poole,twitter.com/HenryPoole
Cladwell,N/A,1-10,Make the fashion industry better for humans.,https://cladwell.com/,"Cincinnati, OH",USA,Erin Flynn,https://twitter.com/byErinFlynn
Clerky,twitter.com/clerkyinc,1-10,We build software to make legal paperwork easier for startups and attorneys.,https://www.clerky.com/,"Burlingame, CA",USA,Darby Wong,https://twitter.com/darbyw
Clevertech,twitter.com/clevertech,51-200,We create beautiful apps for start-ups and entreprise,http://www.clevertech.biz/,"Woodmere, NY",USA,Kuty Shalev,twitter.com/kuty
ClickFlow,N/A,1-10,SaaS product that handles SEO A/B testing for businesses,https://www.clickflow.com/,"Arcadia, CA",USA,Eric Siu,https://twitter.com/ericosiu
Clio,twitter.com/goclio,501-1000,Legal practice management software,https://www.clio.com/,"Burnaby, BC",Canada,Jack Newton,https://twitter.com/jack_newton
Close.io,https://twitter.com/close,11-50,Inside sales communication platform of the future.,https://close.io,"San Francisco, CA",USA,Steli Efti,https://twitter.com/steli
Cloudpeeps,twitter.com/cloudpeeps,1-10,CloudPeeps is a freelance marketplace and community platform,"https://www.cloudpeeps.com/ San Francisco, CA",,USA,Kate Kendall,twitter.com/KateKendall
Clustree,twitter.com/clustree,11-50,The Talent Management Intelligence Solution,https://www.clustree.com/,Paris,France,Bénédicte de Raphélis Soissantwitter.com/benedictedrs,
Codeable,twitter.com/codeablehq,11-50,An online outsourcing service for WordPress,https://codeable.io/,Copenhagen,Denmark,Per Esbensen,twitter.com/per_esbensen
Codebusters,twitter.com/CodebustersInc,201-500,"Helps hospitals and providers get the people they need to capture, code, and bill for their health information.http://www.codebusters.com/ Culver City, CaliforniaUSA",,,,Vincent Kobayashi,
CodeControl,twitter.com/CodeControl_,11-50,"CodeControl works with the top developers, designers and project managers in Europe.",https://codecontrol.io,Berlin,Germany,Marc Philipp Clemens,
Codeship (acquired by Cloudbees),twitter.com/codeship,11-50,Codeship is a hosted Continuous Delivery platform.,https://codeship.com/,Vienna,Austria,Moritz Plassnig,twitter.com/moritzplassnig
Cofense,twitter.com/cofense,501-1000,Security Behavior Management,cofense.com,"Leesburg, VA",USA,Rohyt Belani,twitter.com/rohytbelani
Cohesive Networks,https://twitter.com/cohesivenet,11-50,Software Defined Networking Security,http://cohesive.net,"Chicago, IL",USA,Patrick Kerpan,twitter.com/pjktech
Coinbase,twitter.com/coinbase,201-500,Buy and sell digital currency,https://www.coinbase.com,"San Francisco, CA",USA,Brian Armstrong,twitter.com/brian_armstrong
Collab. Drug Discovery,twitter.com/CDDVault,11-50,Modern Drug Discovery Informatics,http://www.collaborativedrug.comBurlingame CA,,USA,Barry A. Bunin,twitter.com/barrybunin
CollabNet,twitter.com/CollabNet,201-500,CollabNet is a developer of software development and application lifecycle management tools,http://www.collab.net/,"Alpharetta, Georgia",USA,Flint Brenton,twitter.com/Flint_Brenton
Collabora,https://twitter.com/Collabora,51-200,Collabora - - Open source software-based consulting.,https://www.collabora.com/,Cambridge,UK,Philippe Kalaf,twitter.com/philippe_kalaf
Collage.com,twitter.com/collagedotcom,51-200,"Easy-to-use software tools, which make creating custom products easy for everyone.",https://www.collage.com/,"Brighton, MI",USA,Joe Golden/Kevin Bordershttps://twitter.com/Kevin_Borders,
Comcate Software,twitter.com/comcate,11-50,Empowering Communities and Citizens through Technology,http://www.comcate.com/,"Oakland, CA",USA,David Richmond,
Comet,twitter.com/comet_freelance,51-200,Platform that connects Freelancers to tech & data projects,https://comet.co/,Paris,France,Charles Thomas,https://twitter.com/charles_comet
ComplianceMate,twitter.com/ComplianceMate,11-50,PaaS building the digital food safety platform of tomorrow,"https://compliancemate.com/ Lawrenceville, GA",,USA,Steven Getraer,
CompuCorp,twitter.com/teamcompucorp,11-50,"Web design, app development and branding for Charities and non-profit organisations",https://www.compucorp.co.uk/jobsLondon,,UK,Jamie Novick,https://twitter.com/JamieNovick
,,,,,,,,Missing your company?
From Remotive.com,"Browse 2,000 remote jobs on",,,,,,,
,,,https://remotive.com,,��, ������,,Hiring remotely?
with ♥,Remotive! ➡➡➡,,,,,,,Email me at
,,,,,,,,hello@remotive.io
,,Nb. of,,,,,,
Company name,Company Twitter,,What do they do (Verbatim - 10 words max.),Link to website,HQ City,HQ Country,CEO name,CEO's Twitter
,,Employees,,,,,,
,��,"Hire anywhere, thrive everywhere with Oyster - Reliable, compliant global employment: - Check it out here!",,,,,,
Remote Health by SafetyWing,Health Insurance for Global Teams,,Learn more!,,,,,
Conferize,twitter.com/Conferize,11-50,The universal event solution,https://www.conferize.com/aboutCopenhagen,,Denmark,Steen Tromholt,
Conjura,https://twitter.com/conjura_,11-50,Customer analytics,https://conjura.com/,London,UK,Fran Quilty,
ConnectCPA,twitter.com/Connect_CPA,11-50,Cloud accounting firm working with startups and tech companies,http://www.connectcpa.ca,Toronto,Canada,Lior Zehtser & Mike PinkusN/A,
Continu,twitter.com/continu,51-200,Continu is beautifully simple Learning Software built for the modern workplace,www.continu.co,"San Francisco, CA",USA,Scott Burgess,https://twitter.com/_scottburgess
