Section,Offence,Discription,Bail,Punishment,Triable_By,Congizance
IPC Section 120,"
One-Fourth of Offence or Fine or Both
One-Eighth of Offence or Fine or Both
","
Concealing a design to commit an offence punishable with imprisonment, If offence be committed
If the offence be not committed
","
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
","
an illegal act, or
an act which is not illegal by illegal means, such an agreement is designated a criminal conspiracy;
","
Same As Offence
Bailable
"
IPC Section 120A,,,,,,
IPC Section 120B,"
Criminal conspiracy to commit an offence, Punishable with death, imprisonment for life or rigorous imprisonment for a term of 2 Years or upwards
Any other criminal conspiracy
","
Whoever is a party to a criminal conspiracy to commit an offence punishable with death, imprisonment for life or rigorous imprisonment for a term of two years or upwards, shall, where no express provision is made in this Code for the punishment of such a conspiracy, be punished in the same manner as if he had abetted such offence.
Whoever is a party to a criminal conspiracy other than a criminal conspiracy to commit an offence punishable as aforesaid shall be punished with imprisonment of either description for a term not exceeding six months, or with fine or with both.
","
Same As Offence
Bailable
","
Same As For Abetment of that Offence
6 Months or Fine or Both
","
Same As Offence
Magistrate First Class
","
Same As Offence
Non-Cognizable
"
IPC Section 121,"Waging or attempting to wage war, or abetting the waging of war, against the Government of India","Whoever wages war against the Government of India, or attempts to wage such war, or abets the waging of such war, shall be punished with death, or imprisonment for life and shall also be liable to fine.",Non-Bailable,Death or Imprisonment for Imprisonment for Life + Fine,Court of Session,Cognizable
IPC Section 121A,Conspiring to commit certain offences against the State,,Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 122,"Collecting arms, etc., with The intention of waging War against the Government of India","Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 123,Concealing with intent to facilitate a design to wage War,"Whoever, by any act, or by any illegal omission, conceals the existence of a design to wage war against the Government of India, intending by such concealment to facilitate, or knowing it to be likely that such concealment will facilitate, the waging of such war, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years + Fine,Court of Session,Cognizable
IPC Section 124,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power","Whoever, with the intention of inducing or compelling the President of India, or Governor of any State, to exercise or refrain from exercising in any manner any of the lawful powers of such President or Governor, assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, such President or Governor, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Non-Bailable,7 Years + Fine,Court of Session,Cognizable
IPC Section 124A,Sedition,"Whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the Government established by law in India, a shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine.",Non-Bailable,Imprisonment for Life + Fine or 3 Years + Fine or Fine,Court of Session,Cognizable
IPC Section 125,"Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war","Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine.",Non-Bailable,Imprisonment for Life + Fine or 7 Years + Fine or Fine,Court of Session,Cognizable
IPC Section 126,Committing depredation On the territories of any power in alliance or at peace with the Government of India,"Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with the Government of India, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation.",Non-Bailable,7 Years + Fine + forfeiture of property,Court of Session,Cognizable
IPC Section 127,Receiving property taken by war or depredation mentioned in sections 125 And 126,,Non-Bailable,7 Years + Fine + forfeiture of property,Court of Session,Cognizable
IPC Section 128,Public servant voluntarily allowing prisoner of State or war in his custody to escape,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 129,Public servant negligently suffering prisoner of State or war in his custody to escape,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.",Bailable,Simple Imprisonment 3 Years + Fine,Magistrate First Class,Cognizable
IPC Section 130,"Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner","Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 131,"Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 132,"Abetment of mutiny, if mutiny is committed in consequence thereof","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Death or Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 133,"Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office","Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Non-Bailable,3 Years + Fine,Magistrate First Class,Cognizable
IPC Section 134,"Abetment of such assault, if the assault is committed","Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Non-Bailable,7 Years + Fine,Magistrate First Class,Cognizable
IPC Section 135,"Abetment of the desertion of an officer, soldier, sailor or airman","Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 136,"Harbouring such an officer, soldier, sailor or airman who has deserted","Whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, has deserted, harbours such officer, soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 137,"Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof","The master or person in charge of a merchant vessel, on board of which any deserter from the Army, Navy or Air Force of the Government of India is concealed, shall, though ignorant of such concealment, be liable to a penalty not exceeding five hundred rupees, if he might have known of such concealment but for some neglect of his duty as such master or person in charge, or but for some want of discipline on board of the vessel.",Bailable,Fine,Any Magistrate,Non-Cognizable
IPC Section 138,"Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence","Whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman, in the Army, Navy or air Force, of the Government of India, shall, if such act of insubordination be committed in consequence of that abetment, be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 138A,,,,,,
IPC Section 139,,,,,,
IPC Section 140,"Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman","Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",Bailable,3 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 141,,,,,,
IPC Section 142,,,,,,
IPC Section 143,Being member of an unlawful assembly,"Whoever is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 144,Joining an unlawful assembly armed with any deadly weapon,"Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 145,"Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse","Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly has been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment of either description for a term which may extent to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 146,,,,,,
IPC Section 147,Rioting,"Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 148,Rioting armed with deadly Weapon,"Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 149,"If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence","If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, or such as the members of that assembly knew to be likely to be committed in prosecution of that object, every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence.",Same As Offence,Same As Offence,Same As Offence,Same As Offence
IPC Section 150,"Hiring, engaging or employing persons to Take part in an unlawful assembly","Whoever hires or engages, or employes, or promotes, or connives at the hiring, engagement or employment of any person to join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person as a member of such unlawful assembly in pursuance of such hiring, engagement or employment, in the same manner as if he had been a member of such unlawful assembly, or himself had committed such offence.",Same As Offence,Same as a Member and for Offence by any Member,Same As Offence,Cognizable
IPC Section 151,Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,"Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 152,"Assaulting or obstructing public servant when suppressing riot, etc.","Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavoring to disperse an unlawful assembly, or to suppress a riot or affray, or uses, or threatens, or attempts to use criminal force to such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 153,,"Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both, and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",6 Months + Fine,,Cognizable,Knowingly carrying arms in any procession or organising or holding or taking part in any mass drill or mass training with arms
IPC Section 153A,"
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
","
Whoever
		
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.

Offence committed in place of worship, etc — Whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.
","
Cognizable
Cognizable
","
Promoting enmity between classes
Promoting enmity between classes in place of worship, etc.
","
Non-Bailable
Non-Bailable
","
3 Years or Fine or Both
5 Years + Fine
"
IPC Section 153AA,,,Cognizable,Knowingly carrying arms in any procession or organising or holding or taking part in any mass drill or mass training with arms,Non-Bailable,6 Months + Fine
IPC Section 153B,"
makes or publishes any imputation that any class of persons cannot, by reason of their being members of any religious, racial, language or regional group or caste or community, bear true faith and allegiance to the Constitution of India as by law established or uphold the sovereignty and integrity of India, or
asserts, counsels, advises, propagates or publishes that any class of persons by reason of their being members of any religious, racial, language or regional group or caste or community be denied, or deprived of their rights as citizens of India, or
makes or publishes any assertion, counsel, plea or appeal concerning the obligation of any class of persons, by reason of their being members of any religious, racial, language or regional group or caste or community, and such assertion, counsel, plea or appeal causes or is likely to cause disharmony or feelings of enmity or hatred or ill-will between such members and other persons, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
","
Whoever, by words either spoken or written or by signs or by visible representations or otherwise:
		
makes or publishes any imputation that any class of persons cannot, by reason of their being members of any religious, racial, language or regional group or caste or community, bear true faith and allegiance to the Constitution of India as by law established or uphold the sovereignty and integrity of India, or
asserts, counsels, advises, propagates or publishes that any class of persons by reason of their being members of any religious, racial, language or regional group or caste or community be denied, or deprived of their rights as citizens of India, or
makes or publishes any assertion, counsel, plea or appeal concerning the obligation of any class of persons, by reason of their being members of any religious, racial, language or regional group or caste or community, and such assertion, counsel, plea or appeal causes or is likely to cause disharmony or feelings of enmity or hatred or ill-will between such members and other persons, shall be punished with imprisonment which may extend to three years, or with fine, or with both.

Whoever commits an offence specified in sub-section (1), in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.
","
Cognizable
Cognizable
","
Imputations, assertions prejudicial to national integration
If committed in a place of public worship etc.
","
Non-Bailable
Non-Bailable
","
3 Years or Fine or Both
5 Years + Fine
"
IPC Section 154,"Owner or occupier of land non giving information of riot, etc.","Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is held, or such riot is committed, and any person having or claiming an interest in such land, shall be punishable with fine not exceeding one thousand rupees, if he or his agent or manager, knowing that such offence is being or has been committed, or having reason to believe it is likely to be committed, do not give the earliest notice thereof in his or their power to the principal officer at the nearest police-station, and do not, in the case of his or their having reason to believe that it was about to be committed, use all lawful means in his or their power to prevent it and, in the event of its taking place, do not use all lawful means in his or their power to disperse or suppress the riot or unlawful assembly.",Bailable,Fine,Any Magistrate,Non-Cognizable
IPC Section 155,Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, such person shall be punishable with fine, if he or his agent or manager, having reason to believe that such riot was likely to be committed or that the unlawful assembly by which such riot was committed was likely to be held, shall not respectively use all lawful means in his or their power to prevent such assembly or riot from taking place, and for suppressing and dispersing the same.",Bailable,Fine,Any Magistrate,Non-Cognizable
IPC Section 156,Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, the agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot or assembly from taking place and for suppressing and dispersing the same.",Bailable,Fine,Any Magistrate,Non-Cognizable
IPC Section 157,Harbouring persons hired for an unlawful assembly,"Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 158,"
Being hired to take part in an unlawful assembly or riot
Or to go armed
",,"
Bailable
Bailable
","
6 Months or Fine or Both
2 Years or Fine or Both
","
Any Magistrate
Any Magistrate
","
Cognizable
Cognizable
"
IPC Section 159,,,,,,
IPC Section 160,Committing affray,"Whoever commits an affray, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to one hundred rupees, or with both.",Bailable,1 Month or Fine or Both,Any Magistrate,Cognizable
IPC Section 161,"Being or expecting to be a public servant, and taking A gratification other than Legal remuneration in respect of an official act","Repealed by the Prevention of Corruption Act, 1988 (49 of 1988), S. 31.",Non-Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 162,"Taking a gratification in order, by corrupt or illegal means, to influence a public servant","Repealed by the Prevention of Corruption Act, 1988 (49 of 1988), S. 31.",Non-Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 163,Taking a gratification for the exercise of personal influence with a public servant,"Repealed by the Prevention of Corruption Act, 1988 (49 of 1988), S. 31.",Non-Bailable,Simple Imprisonment for 1 Year or Fine or Both,Magistrate First Class,Cognizable
IPC Section 164,Abetment by public servant of the offences defined in the last two preceding clauses with reference to himself,"Repealed by the Prevention of Corruption Act, 1988 (49 of 1988), S. 31.",Non-Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 165,"Public servant obtaining any valuable thing, without consideration, From a person concerned in any proceeding or business transacted by Such public servant","Repealed by the Prevention of Corruption Act, 1988 (49 of 1988), S. 31.",Non-Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 165A,Punishment for abetment of offences punishable under section 161 or section 165,"Rep. by the Prevention of Corruption Act, 1988 (49 of 1988), S. 31.",Non-Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 166,Public servant disobeying a direction of the law with intent to cause injury to any person,"Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will, by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.",Bailable,Simple Imprisonment for 1 Year or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 166A,"shall be punished with rigorous imprisonment for a term which shall not be less than six months but which may extend to two years, and shall also be liable to fine.",,6 months to 2 years + Fine,,Cognizable,Public servant disobeying direction under law
IPC Section 166B,,,Non-cognizable,Non-treatment of victim by hospital,Bailable,1 year or Fine or Both
IPC Section 167,,,Cognizable,Public servant framing an incorrect document with intent to cause injury,Bailable,3 Years or Fine or Both
IPC Section 168,Public servant unlawfully engaging in trade,"Whoever, being a public servant, and being legally bound as such public servant not to engages in trade, engages in trade, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.",Bailable,Simple Imprisonment for 1 Year or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 169,Public servant unlawfully buying or bidding for property,"Whoever, being a public servant, and being legally bound as such public servant, not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly, or in shares with others, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated.",Bailable,"Simple Imprisonment for 2 Years or Fine or Both and confiscation of property, if purchased",Magistrate First Class,Non-Cognizable
IPC Section 170,Personating a Public servant,"Whoever pretends to hold any particular office as public servant, knowing that he does not hold such office or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Non-Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
A Lawyers Reference,,,,,,
IPC Section 171A,,,,,,
IPC Section 171B,,,,,,
IPC Section 171C,,,,,,
IPC Section 171D,,,,,,
IPC Section 171E,Provided that bribery by treating shall be punished with fine only.,"Whoever commits the offence of bribery shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both;",Non-Cognizable,Bribery,Bailable,"1 Year or Fine or Both, or if treating only, fine only"
IPC Section 171F,"
Undue influence at an election
Personation at an election
","Whoever commits the offence of undue influence or personation at an election shall be punished with imprisonment of either description for a term which may extend to one year or with fine, or with both.","
Bailable
Bailable
","
1 Year or Fine or Both
1 Year or Fine or Both
","
Magistrate First Class
Magistrate First Class
","
Non-Cognizable
Cognizable
"
IPC Section 171G,False statement in connection with an election,"Whoever with intent to affect the result of an election makes or publishes any statement purporting to be a statement of fact which is false and which he either knows or believes to be false or does not believe to be true, in relation to the personal character or conduct of any candidate shall be punished with fine.",Bailable,Fine,Magistrate First Class,Non-Cognizable
IPC Section 171H,"Provided that if any person having incurred any such expenses not exceeding the amount of ten rupees without authority obtains within ten days from the date on which such expenses were incurred the approval in writing of the candidate, he shall be deemed to have incurred such expenses with the authority of the candidate.","Whoever without the general or special authority in writing of a candidate incurs or authorizes expenses on account of the holding of any public meeting, or upon any advertisement, circular or publication, or in any other way whatsoever for the purpose of promoting or procuring the election of such candidate, shall be punished with fine which may extend to five hundred rupees;",Non-Cognizable,Illegal payments in connection with elections,Bailable,Fine
IPC Section 171I,Failure to keep election accounts,Whoever being required by any law for the time being in force or any rule having the force of law to keep accounts of expenses incurred at or in connection with an election fails to keep such accounts shall be punished with fine which may extend to five hundred rupees.,Bailable,Fine,Magistrate First Class,Non-Cognizable
IPC Section 172,"
Absconding to avoid service of summons or other proceeding from a public servant
If summons or notice require attendance in person, etc., in a court of Justice
",,"
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
"
IPC Section 173,"
Preventing the service or The affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation
If summons etc., require attendance in person, etc. in a court of Justice
",,"
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
"
